Position	Gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
chrX:8322110:8323418:abu-9:WBGene00000032	abu-9	1	20	1	0	C1	0	1	Control
chrV:10380724:10380874:AC3.16:WBGene00200016	AC3.16	2	12	1	1	C1	1	0	Control
chrV:10388526:10393505:AC3.5:WBGene00007071	AC3.5	2	4	1	1	C1	0	1	Control
chrV:10388526:10393505:AC3.5:WBGene00007071	AC3.5	2	16	3	1	C1	0	1	Control
chrX:237495:239177:AC8.10:WBGene00043988	AC8.10	2	10	1	1	C1	1	0	Control
chrX:237495:238890:AC8.3:WBGene00007075	AC8.3	2	8	3	1	C1	1	0	Control
chrX:237495:238890:AC8.3:WBGene00007075	AC8.3	2	14	1	1	C1	1	0	Control
chrIII:7308294:7309043:acbp-4:WBGene00018949	acbp-4	2	16	1	1	C1	1	0	Control
chrI:4103697:4108165:acd-1:WBGene00016064	acd-1	2	14	1	1	C1	0	1	Control
chrI:6497435:6499560:acdh-1:WBGene00016943	acdh-1	2	6	9	1	C1	1	0	Control
chrI:6497435:6499560:acdh-1:WBGene00016943	acdh-1	1	18	3	0	C1	1	0	Control
chrII:5544780:5547490:acdh-2:WBGene00015894	acdh-2	2	6	1	1	C1	1	0	Control
chrII:5544780:5547490:acdh-2:WBGene00015894	acdh-2	2	10	1	1	C1	1	0	Control
chrII:5544780:5547490:acdh-2:WBGene00015894	acdh-2	2	14	1	1	C1	1	0	Control
chrII:5544780:5547490:acdh-2:WBGene00015894	acdh-2	1	18	3	0	C1	1	0	Control
chrI:6784853:6787139:acdh-5:WBGene00016491	acdh-5	2	14	1	1	C1	0	1	Control
chrII:5794494:5796185:acdh-8:WBGene00019406	acdh-8	2	14	1	1	C1	1	0	Control
chrII:14198045:14205325:ace-4:WBGene00000038	ace-4	2	12	1	1	C1	1	0	Control
chrI:12951133:12954015:acox-1.4:WBGene00008567	acox-1.4	2	4	3	1	C1	0	1	Control
chrI:12951133:12954015:acox-1.4:WBGene00008567	acox-1.4	2	18	1	1	C1	0	1	Control
chrII:8435346:8437135:acp-3:WBGene00008801	acp-3	2	2	1	1	C1	1	0	Control
chrII:8432772:8435105:acp-4:WBGene00008804	acp-4	2	2	1	1	C1	0	1	Control
chrIV:15497566:15511065:acr-24:WBGene00013534	acr-24	2	8	1	1	C1	1	0	Control
chrV:14146498:14148839:acs-10:WBGene00007082	acs-10	2	2	1	1	C1	1	0	Control
chrV:14146498:14148839:acs-10:WBGene00007082	acs-10	2	8	1	1	C1	1	0	Control
chrV:14146498:14148839:acs-10:WBGene00007082	acs-10	2	14	1	1	C1	1	0	Control
chrV:14146498:14148839:acs-10:WBGene00007082	acs-10	1	20	1	0	C1	1	0	Control
chrII:933017:936989:acs-15:WBGene00019920	acs-15	2	14	1	1	C1	0	1	Control
chrIV:10310747:10313670:acs-18:WBGene00011173	acs-18	2	4	1	1	C1	0	1	Control
chrIV:10310747:10313670:acs-18:WBGene00011173	acs-18	2	8	1	1	C1	0	1	Control
chrV:15567393:15569894:acs-2:WBGene00009221	acs-2	2	18	1	1	C1	0	1	Control
chrII:7061998:7064777:acs-6:WBGene00022849	acs-6	2	10	1	1	C1	1	0	Control
chrII:7061998:7064777:acs-6:WBGene00022849	acs-6	2	14	1	1	C1	1	0	Control
chrV:11076736:11078154:act-2:WBGene00000064	act-2	2	12	1	1	C1	1	0	Control
chrV:11069407:11073264:act-3:WBGene00000065	act-3	2	12	1	1	C1	1	0	Control
chrX:4960552:4964413:act-4:WBGene00000066	act-4	2	12	1	1	C1	1	0	Control
chrX:12678831:12689279:adt-1:WBGene00000082	adt-1	2	2	1	1	C1	0	1	Control
chrV:14156830:14157622:AH10.2:WBGene00007083	AH10.2	2	8	1	1	C1	1	0	Control
chrV:14137347:14137866:AH10.4:WBGene00007085	AH10.4	2	10	1	1	C1	0	1	Control
chrX:2243482:2243586:AH9.9:WBGene00219776	AH9.9	2	14	1	1	C1	1	0	Control
chrII:873171:879878:alg-2:WBGene00000106	alg-2	2	12	1	1	C1	1	0	Control
chrIV:11704245:11708264:alg-3:WBGene00011910	alg-3	2	6	5	1	C1	0	1	Control
chrIII:9887209:9891458:alg-4:WBGene00006449	alg-4	2	2	1	1	C1	0	1	Control
chrIII:9887209:9891458:alg-4:WBGene00006449	alg-4	1	20	1	0	C1	0	1	Control
chrIV:4248069:4258439:ama-1:WBGene00000123	ama-1	2	12	1	1	C1	1	0	Control
chrX:4571436:4573914:amt-1:WBGene00000133	amt-1	2	2	1	1	C1	1	0	Control
chrX:4571436:4573914:amt-1:WBGene00000133	amt-1	2	10	1	1	C1	1	0	Control
chrI:4318032:4359090:anc-1:WBGene00000140	anc-1	2	12	1	1	C1	1	0	Control
chrIV:9700863:9701286:anr-11:WBGene00219597	anr-11	2	10	1	1	C1	1	0	Control
chrIV:9700863:9701286:anr-11:WBGene00219597	anr-11	2	14	1	1	C1	1	0	Control
chrII:13770842:13771616:anr-12:WBGene00219558	anr-12	2	16	1	1	C1	1	0	Control
chrIV:11136288:11136473:anr-13:WBGene00219576	anr-13	2	12	1	1	C1	1	0	Control
chrV:12011976:12012218:anr-15:WBGene00219593	anr-15	2	8	3	1	C1	1	0	Control
chrX:11524985:11526635:anr-16:WBGene00219587	anr-16	2	10	5	1	C1	1	0	Control
chrV:5949199:5949388:anr-23:WBGene00219717	anr-23	2	2	5	1	C1	0	1	Control
chrV:5949199:5949388:anr-23:WBGene00219717	anr-23	1	16	5	0	C1	0	1	Control
chrII:560596:560990:anr-27:WBGene00219647	anr-27	2	8	1	1	C1	0	1	Control
chrII:560596:560990:anr-27:WBGene00219647	anr-27	2	14	1	1	C1	0	1	Control
chrV:12439501:12440814:anr-30:WBGene00219573	anr-30	2	2	1	1	C1	0	1	Control
chrV:12439501:12440814:anr-30:WBGene00219573	anr-30	2	10	1	1	C1	0	1	Control
chrV:12439501:12440814:anr-30:WBGene00219573	anr-30	2	16	3	1	C1	0	1	Control
chrV:6003574:6006746:anr-32:WBGene00219683	anr-32	2	10	1	1	C1	1	0	Control
chrII:4059051:4059523:anr-41:WBGene00219744	anr-41	2	16	3	1	C1	1	0	Control
chrI:1822400:1823043:anr-42:WBGene00219766	anr-42	2	2	5	1	C1	1	0	Control
chrI:1822400:1823043:anr-42:WBGene00219766	anr-42	2	10	3	1	C1	1	0	Control
chrI:1822400:1823043:anr-42:WBGene00219766	anr-42	2	16	1	1	C1	1	0	Control
chrIV:8231730:8235014:anr-44:WBGene00219729	anr-44	2	8	1	1	C1	1	0	Control
chrI:11013399:11014203:anr-46:WBGene00219621	anr-46	2	16	1	1	C1	1	0	Control
chrIV:3201458:3203707:anr-47:WBGene00219764	anr-47	2	4	5	1	C1	1	0	Control
chrIV:3201458:3203707:anr-47:WBGene00219764	anr-47	2	18	1	1	C1	1	0	Control
chrI:6136719:6136927:anr-5:WBGene00219705	anr-5	2	4	1	1	C1	1	0	Control
chrI:6136719:6136927:anr-5:WBGene00219705	anr-5	2	8	1	1	C1	1	0	Control
chrI:6136719:6136927:anr-5:WBGene00219705	anr-5	2	14	3	1	C1	1	0	Control
chrI:6136719:6136927:anr-5:WBGene00219705	anr-5	1	20	1	0	C1	1	0	Control
chrIV:1629778:1629987:anr-50:WBGene00219752	anr-50	2	2	1	1	C1	0	1	Control
chrII:10294091:10295693:anr-52:WBGene00219642	anr-52	2	2	3	1	C1	0	1	Control
chrII:10294091:10295693:anr-52:WBGene00219642	anr-52	2	14	5	1	C1	0	1	Control
chrIII:1294929:1298375:anr-53:WBGene00219772	anr-53	2	4	1	1	C1	0	1	Control
chrIII:1294929:1298375:anr-53:WBGene00219772	anr-53	2	10	3	1	C1	0	1	Control
chrIII:1294929:1298375:anr-53:WBGene00219772	anr-53	2	18	1	1	C1	0	1	Control
chrII:5329560:5331221:anr-54:WBGene00219672	anr-54	2	4	1	1	C1	1	0	Control
chrIV:10809557:10810538:anr-57:WBGene00219603	anr-57	2	2	9	1	C1	1	0	Control
chrIV:10809557:10810538:anr-57:WBGene00219603	anr-57	1	14	7	0	C1	1	0	Control
chrV:1197813:1198060:anr-58:WBGene00219759	anr-58	2	2	1	1	C1	1	0	Control
chrV:1197813:1198060:anr-58:WBGene00219759	anr-58	2	16	1	1	C1	1	0	Control
chrI:6729995:6730959:ant-1.2:WBGene00007057	ant-1.2	2	8	1	1	C1	0	1	Control
chrI:6729995:6730959:ant-1.2:WBGene00007057	ant-1.2	2	12	1	1	C1	0	1	Control
chrIV:9708168:9709305:ant-1.3:WBGene00010485	ant-1.3	2	2	3	1	C1	1	0	Control
chrIV:9708168:9709305:ant-1.3:WBGene00010485	ant-1.3	2	10	1	1	C1	1	0	Control
chrIV:9708168:9709305:ant-1.3:WBGene00010485	ant-1.3	2	14	5	1	C1	1	0	Control
chrIV:8459177:8460327:ant-1.4:WBGene00020140	ant-1.4	2	6	1	1	C1	0	1	Control
chrIV:8459177:8460327:ant-1.4:WBGene00020140	ant-1.4	2	10	1	1	C1	0	1	Control
chrIV:8459177:8460327:ant-1.4:WBGene00020140	ant-1.4	1	20	1	0	C1	0	1	Control
chrII:11108158:11109583:apc-17:WBGene00003133	apc-17	2	14	1	1	C1	1	0	Control
chrII:3532526:3546431:apd-3:WBGene00000162	apd-3	2	12	1	1	C1	1	0	Control
chrX:5112415:5116866:apl-1:WBGene00000149	apl-1	2	12	1	1	C1	1	0	Control
chrII:9258865:9261979:aqp-2:WBGene00000170	aqp-2	2	12	1	1	C1	1	0	Control
chrIV:7634785:7635712:arf-1.1:WBGene00000190	arf-1.1	2	6	1	1	C1	1	0	Control
chrV:186168:201297:arid-1:WBGene00044689	arid-1	2	12	1	1	C1	1	0	Control
chrII:13763422:13765621:arrd-11:WBGene00011052	arrd-11	2	2	1	1	C1	1	0	Control
chrII:13766251:13768441:arrd-12:WBGene00011053	arrd-12	2	14	1	1	C1	0	1	Control
chrX:10183979:10186247:arrd-28:WBGene00009000	arrd-28	2	2	1	1	C1	0	1	Control
chrX:10183979:10186247:arrd-28:WBGene00009000	arrd-28	2	16	3	1	C1	0	1	Control
chrII:9412557:9414217:arrd-3:WBGene00006429	arrd-3	2	6	1	1	C1	1	0	Control
chrII:9412557:9414217:arrd-3:WBGene00006429	arrd-3	2	14	1	1	C1	1	0	Control
chrII:12479268:12480911:arrd-9:WBGene00008843	arrd-9	2	2	1	1	C1	1	0	Control
chrII:12479268:12480911:arrd-9:WBGene00008843	arrd-9	2	6	1	1	C1	1	0	Control
chrII:12479268:12480911:arrd-9:WBGene00008843	arrd-9	2	12	1	1	C1	1	0	Control
chrII:12479268:12480911:arrd-9:WBGene00008843	arrd-9	1	16	5	0	C1	1	0	Control
chrI:3769671:3773914:asic-1:WBGene00022815	asic-1	2	2	1	1	C1	0	1	Control
chrI:3769671:3773914:asic-1:WBGene00022815	asic-1	2	16	1	1	C1	0	1	Control
chrIV:520213:523809:asm-3:WBGene00000213	asm-3	2	6	1	1	C1	0	1	Control
chrIV:520213:523809:asm-3:WBGene00000213	asm-3	2	14	3	1	C1	0	1	Control
chrIV:520213:523809:asm-3:WBGene00000213	asm-3	1	20	1	0	C1	0	1	Control
chrV:8641444:8643193:asp-13:WBGene00017881	asp-13	2	6	5	1	C1	1	0	Control
chrV:8641444:8643193:asp-13:WBGene00017881	asp-13	2	14	1	1	C1	1	0	Control
chrV:8641444:8643193:asp-13:WBGene00017881	asp-13	1	20	1	0	C1	1	0	Control
chrX:6444187:6446664:asp-14:WBGene00019619	asp-14	2	16	1	1	C1	0	1	Control
chrX:6444187:6446664:asp-14:WBGene00019619	asp-14	1	20	1	0	C1	0	1	Control
chrV:19035722:19037320:asp-17:WBGene00012683	asp-17	2	2	1	1	C1	0	1	Control
chrV:3028293:3029583:asp-7:WBGene00019104	asp-7	2	4	1	1	C1	1	0	Control
chrV:3024519:3027931:asp-8:WBGene00019105	asp-8	2	10	1	1	C1	1	0	Control
chrIV:6185887:6189205:asp-9:WBGene00015700	asp-9	2	10	1	1	C1	1	0	Control
chrX:6809093:6817214:atg-2:WBGene00019748	atg-2	2	12	1	1	C1	1	0	Control
chrII:4340150:4350984:athp-2:WBGene00019217	athp-2	2	12	1	1	C1	1	0	Control
chrI:12652276:12654596:atp-1:WBGene00010419	atp-1	2	12	1	1	C1	1	0	Control
chrIII:69845:86384:attf-3:WBGene00018794	attf-3	2	12	1	1	C1	1	0	Control
chrI:12787941:12806581:attf-6:WBGene00012474	attf-6	2	12	1	1	C1	1	0	Control
chrIV:12126760:12127057:B0001.10:WBGene00196931	B0001.10	2	16	1	1	C1	1	0	Control
chrIV:12133996:12134145:B0001.11:WBGene00197796	B0001.11	2	10	1	1	C1	1	0	Control
chrIV:12131738:12131888:B0001.12:WBGene00200968	B0001.12	2	10	1	1	C1	1	0	Control
chrV:10294697:10294839:B0024.17:WBGene00197715	B0024.17	2	6	1	1	C1	0	1	Control
chrV:10297398:10298985:B0024.4:WBGene00007097	B0024.4	1	20	1	0	C1	1	0	Control
chrI:6024143:6025014:B0025.5:WBGene00194700	B0025.5	2	4	1	1	C1	0	1	Control
chrI:6024143:6025014:B0025.5:WBGene00194700	B0025.5	2	10	1	1	C1	0	1	Control
chrI:6024143:6025014:B0025.5:WBGene00194700	B0025.5	2	18	1	1	C1	0	1	Control
chrII:5965518:5965687:B0034.11:WBGene00197958	B0034.11	2	6	1	1	C1	0	1	Control
chrII:5972899:5972995:B0034.13:WBGene00199621	B0034.13	2	18	1	1	C1	1	0	Control
chrII:5958387:5958536:B0034.14:WBGene00200211	B0034.14	2	14	1	1	C1	0	1	Control
chrII:5950184:5950318:B0034.17:WBGene00202395	B0034.17	2	2	9	1	C1	1	0	Control
chrII:5950184:5950318:B0034.17:WBGene00202395	B0034.17	2	14	1	1	C1	1	0	Control
chrII:5968059:5969531:B0034.4:WBGene00015004	B0034.4	2	4	1	1	C1	1	0	Control
chrII:5968059:5969531:B0034.4:WBGene00015004	B0034.4	2	10	1	1	C1	1	0	Control
chrII:5965518:5965687:B0034.9:WBGene00197204	B0034.9	2	6	1	1	C1	0	1	Control
chrIV:11315152:11315182:B0035.22:WBGene00303031	B0035.22	2	4	1	1	C1	1	0	Control
chrIV:11315152:11315182:B0035.22:WBGene00303031	B0035.22	2	16	3	1	C1	1	0	Control
chrI:4664498:4665347:B0041.1:WBGene00015006	B0041.1	2	2	9	1	C1	1	0	Control
chrI:4664498:4665347:B0041.1:WBGene00015006	B0041.1	2	14	1	1	C1	1	0	Control
chrI:4664498:4665347:B0041.1:WBGene00015006	B0041.1	2	18	1	1	C1	1	0	Control
chrI:4646725:4646779:B0041.9:WBGene00045087	B0041.9	2	8	1	1	C1	1	0	Control
chrI:10708362:10710376:B0205.10:WBGene00015024	B0205.10	2	4	3	1	C1	1	0	Control
chrI:10708362:10710376:B0205.10:WBGene00015024	B0205.10	2	12	7	1	C1	1	0	Control
chrI:10726087:10727386:B0205.14:WBGene00044646	B0205.14	2	4	1	1	C1	1	0	Control
chrI:5964400:5967211:B0207.1:WBGene00015026	B0207.1	2	8	1	1	C1	0	1	Control
chrI:5964400:5967211:B0207.1:WBGene00015026	B0207.1	2	18	1	1	C1	0	1	Control
chrI:5959007:5959532:B0207.10:WBGene00015033	B0207.10	2	8	1	1	C1	0	1	Control
chrI:5945562:5947640:B0207.7:WBGene00015030	B0207.7	1	20	1	0	C1	1	0	Control
chrI:5957440:5958359:B0207.9:WBGene00015032	B0207.9	2	10	1	1	C1	0	1	Control
chrV:3966821:3966927:B0213.18:WBGene00022895	B0213.18	2	2	1	1	C1	0	1	Control
chrV:3966821:3966927:B0213.18:WBGene00022895	B0213.18	2	10	1	1	C1	0	1	Control
chrV:3966821:3966927:B0213.18:WBGene00022895	B0213.18	2	16	3	1	C1	0	1	Control
chrV:9158415:9159540:B0222.10:WBGene00015058	B0222.10	2	2	5	1	C1	0	1	Control
chrV:9158415:9159540:B0222.10:WBGene00015058	B0222.10	2	14	1	1	C1	0	1	Control
chrII:7745689:7745852:B0228.10:WBGene00219780	B0228.10	2	2	1	1	C1	0	1	Control
chrII:7745689:7745852:B0228.10:WBGene00219780	B0228.10	2	16	1	1	C1	0	1	Control
chrV:5240202:5240635:B0238.15:WBGene00044537	B0238.15	2	4	1	1	C1	1	0	Control
chrV:5240202:5240635:B0238.15:WBGene00044537	B0238.15	2	16	1	1	C1	1	0	Control
chrV:5240202:5240635:B0238.15:WBGene00044537	B0238.15	1	20	1	0	C1	1	0	Control
chrIII:5743383:5744820:B0244.15:WBGene00206513	B0244.15	2	16	1	1	C1	0	1	Control
chrIII:5733224:5735102:B0244.17:WBGene00271715	B0244.17	2	8	3	1	C1	1	0	Control
chrIII:5733224:5735102:B0244.17:WBGene00271715	B0244.17	2	14	1	1	C1	1	0	Control
chrIII:5744869:5747195:B0244.5:WBGene00015080	B0244.5	2	4	1	1	C1	1	0	Control
chrIII:5731500:5733177:B0244.7:WBGene00015082	B0244.7	2	2	5	1	C1	0	1	Control
chrIII:5731500:5733177:B0244.7:WBGene00015082	B0244.7	2	12	1	1	C1	0	1	Control
chrIII:5731500:5733177:B0244.7:WBGene00015082	B0244.7	1	16	5	0	C1	0	1	Control
chrV:20480008:20480133:B0250.19:WBGene00219782	B0250.19	2	10	1	1	C1	0	1	Control
chrV:20480008:20480133:B0250.19:WBGene00219782	B0250.19	2	14	1	1	C1	0	1	Control
chrV:20469702:20470485:B0250.8:WBGene00007125	B0250.8	2	6	1	1	C1	1	0	Control
chrII:6916993:6918922:B0252.5:WBGene00015089	B0252.5	2	6	5	1	C1	0	1	Control
chrII:6916993:6918922:B0252.5:WBGene00015089	B0252.5	2	14	3	1	C1	0	1	Control
chrI:5249723:5254209:B0261.5:WBGene00015093	B0261.5	2	10	3	1	C1	1	0	Control
chrI:5255446:5256945:B0261.6:WBGene00015094	B0261.6	2	6	5	1	C1	1	0	Control
chrI:5255446:5256945:B0261.6:WBGene00015094	B0261.6	2	14	1	1	C1	1	0	Control
chrI:5268418:5269485:B0261.9:WBGene00195057	B0261.9	2	2	5	1	C1	1	0	Control
chrI:5268418:5269485:B0261.9:WBGene00195057	B0261.9	2	14	1	1	C1	1	0	Control
chrI:5268418:5269485:B0261.9:WBGene00195057	B0261.9	2	18	1	1	C1	1	0	Control
chrIV:5493991:5495252:B0273.1:WBGene00015097	B0273.1	2	18	1	1	C1	1	0	Control
chrIV:5490485:5491154:B0273.115:WBGene00206473	B0273.115	2	10	1	1	C1	1	0	Control
chrIV:5490485:5491154:B0273.115:WBGene00206473	B0273.115	1	14	7	0	C1	1	0	Control
chrIII:7136509:7138278:B0280.11:WBGene00015106	B0280.11	2	4	1	1	C1	1	0	Control
chrIII:7124663:7128382:B0280.2:WBGene00015100	B0280.2	2	8	3	1	C1	1	0	Control
chrIII:7124663:7128382:B0280.2:WBGene00015100	B0280.2	2	14	1	1	C1	1	0	Control
chrIII:7142168:7142889:B0280.21:WBGene00271637	B0280.21	2	6	1	1	C1	1	0	Control
chrII:2297846:2298842:B0281.4:WBGene00015111	B0281.4	2	4	1	1	C1	1	0	Control
chrII:2297846:2298842:B0281.4:WBGene00015111	B0281.4	2	10	3	1	C1	1	0	Control
chrII:2297846:2298842:B0281.4:WBGene00015111	B0281.4	2	16	1	1	C1	1	0	Control
chrII:2297846:2298842:B0281.4:WBGene00015111	B0281.4	1	20	1	0	C1	1	0	Control
chrII:2301307:2302430:B0281.6:WBGene00015113	B0281.6	2	4	3	1	C1	1	0	Control
chrII:2301307:2302430:B0281.6:WBGene00015113	B0281.6	2	18	1	1	C1	1	0	Control
chrII:2311489:2312847:B0281.8:WBGene00015114	B0281.8	2	18	1	1	C1	0	1	Control
chrIII:4352245:4355972:B0285.6:WBGene00007138	B0285.6	2	10	1	1	C1	1	0	Control
chrX:1896661:1897343:B0294.1:WBGene00015117	B0294.1	2	8	3	1	C1	1	0	Control
chrX:1892186:1893272:B0294.3:WBGene00015118	B0294.3	2	2	5	1	C1	0	1	Control
chrX:1892186:1893272:B0294.3:WBGene00015118	B0294.3	2	10	1	1	C1	0	1	Control
chrX:1892186:1893272:B0294.3:WBGene00015118	B0294.3	2	16	1	1	C1	0	1	Control
chrX:17178538:17178992:B0302.2:WBGene00015119	B0302.2	2	8	1	1	C1	0	1	Control
chrX:17176489:17176777:B0302.4:WBGene00015121	B0302.4	2	4	1	1	C1	1	0	Control
chrX:17176489:17176777:B0302.4:WBGene00015121	B0302.4	2	8	1	1	C1	1	0	Control
chrX:17176489:17176777:B0302.4:WBGene00015121	B0302.4	2	12	3	1	C1	1	0	Control
chrIII:8705108:8706345:B0303.16:WBGene00044678	B0303.16	2	10	1	1	C1	0	1	Control
chrIII:8705108:8706345:B0303.16:WBGene00044678	B0303.16	2	14	1	1	C1	0	1	Control
chrIII:8705108:8706345:B0303.16:WBGene00044678	B0303.16	1	20	1	0	C1	0	1	Control
chrIII:8708876:8709101:B0303.17:WBGene00197908	B0303.17	2	10	1	1	C1	0	1	Control
chrIII:8708876:8709101:B0303.17:WBGene00197908	B0303.17	2	18	1	1	C1	0	1	Control
chrII:11493041:11493183:B0334.17:WBGene00197047	B0334.17	2	16	1	1	C1	0	1	Control
chrIII:5709842:5710509:B0336.12:WBGene00015149	B0336.12	2	2	1	1	C1	1	0	Control
chrIII:5709842:5710509:B0336.12:WBGene00015149	B0336.12	2	6	1	1	C1	1	0	Control
chrIII:5709842:5710509:B0336.12:WBGene00015149	B0336.12	2	14	3	1	C1	1	0	Control
chrIII:5709842:5710509:B0336.12:WBGene00015149	B0336.12	1	20	1	0	C1	1	0	Control
chrV:45309:46923:B0348.2:WBGene00015152	B0348.2	2	8	3	1	C1	0	1	Control
chrV:39258:39364:B0348.8:WBGene00219784	B0348.8	2	4	3	1	C1	1	0	Control
chrV:39258:39364:B0348.8:WBGene00219784	B0348.8	2	10	1	1	C1	1	0	Control
chrV:12524:13369:B0348.9:WBGene00235314	B0348.9	2	6	3	1	C1	0	1	Control
chrV:12524:13369:B0348.9:WBGene00235314	B0348.9	2	12	1	1	C1	0	1	Control
chrIV:5979444:5979593:B0350.71:WBGene00196498	B0350.71	2	2	1	1	C1	0	1	Control
chrIV:5985444:5985560:B0350.76:WBGene00200594	B0350.76	2	4	1	1	C1	1	0	Control
chrIV:5985444:5985560:B0350.76:WBGene00200594	B0350.76	2	8	1	1	C1	1	0	Control
chrIV:5985444:5985560:B0350.76:WBGene00200594	B0350.76	2	12	1	1	C1	1	0	Control
chrIV:5985444:5985560:B0350.76:WBGene00200594	B0350.76	1	20	1	0	C1	1	0	Control
chrIV:5980160:5980274:B0350.77:WBGene00200898	B0350.77	2	8	1	1	C1	1	0	Control
chrIV:5980160:5980274:B0350.77:WBGene00200898	B0350.77	2	12	3	1	C1	1	0	Control
chrIV:5986952:5987099:B0350.83:WBGene00202180	B0350.83	2	10	1	1	C1	0	1	Control
chrIV:5981715:5981795:B0350.85:WBGene00219785	B0350.85	2	4	1	1	C1	0	1	Control
chrIV:5981715:5981795:B0350.85:WBGene00219785	B0350.85	2	14	3	1	C1	0	1	Control
chrI:10072577:10074399:B0379.7:WBGene00007159	B0379.7	2	8	1	1	C1	0	1	Control
chrV:19576045:19576076:B0399.3:WBGene00044980	B0399.3	2	4	1	1	C1	1	0	Control
chrX:7033986:7034180:B0403.10:WBGene00197662	B0403.10	2	4	1	1	C1	0	1	Control
chrX:7037214:7037344:B0403.11:WBGene00199097	B0403.11	2	4	1	1	C1	1	0	Control
chrX:7067768:7067909:B0403.9:WBGene00197563	B0403.9	2	2	1	1	C1	0	1	Control
chrX:2894572:2894809:B0410.1:WBGene00015170	B0410.1	2	4	5	1	C1	1	0	Control
chrX:2894572:2894809:B0410.1:WBGene00015170	B0410.1	1	20	1	0	C1	1	0	Control
chrIII:794741:794867:B0412.7:WBGene00044939	B0412.7	2	16	1	1	C1	1	0	Control
chrIII:794741:794867:B0412.7:WBGene00044939	B0412.7	1	20	1	0	C1	1	0	Control
chrI:5782087:5782152:B0414.10:WBGene00198221	B0414.10	2	10	1	1	C1	0	1	Control
chrX:9282032:9283126:B0416.11:WBGene00206483	B0416.11	1	20	1	0	C1	0	1	Control
chrX:9299146:9300155:B0416.2:WBGene00015178	B0416.2	2	2	9	1	C1	1	0	Control
chrX:9299146:9300155:B0416.2:WBGene00015178	B0416.2	1	14	7	0	C1	1	0	Control
chrX:9296946:9297934:B0416.7:WBGene00015182	B0416.7	2	6	3	1	C1	0	1	Control
chrX:9296946:9297934:B0416.7:WBGene00015182	B0416.7	2	16	1	1	C1	0	1	Control
chrII:297394:299831:B0432.1:WBGene00015183	B0432.1	2	18	1	1	C1	1	0	Control
chrII:3035337:3035459:B0454.18:WBGene00199082	B0454.18	2	10	1	1	C1	1	0	Control
chrII:3035337:3035459:B0454.18:WBGene00199082	B0454.18	1	20	1	0	C1	1	0	Control
chrII:3040942:3043415:B0454.8:WBGene00015199	B0454.8	2	12	1	1	C1	1	0	Control
chrII:8901811:8902025:B0457.16:WBGene00201168	B0457.16	2	4	7	1	C1	1	0	Control
chrII:8901811:8902025:B0457.16:WBGene00201168	B0457.16	2	14	1	1	C1	1	0	Control
