gene_name	gene	number_transitions	onset_gen	length	complete	Lineage	is_up	is_down	Condition
Gene:WBGene00003579:26G:ndx-2, W02G9.1:ALG, WAGO	ndx-2, W02G9.1	2	4	1	1	C1	0	1	Control
Gene:WBGene00003924:26G:pas-3, Y110A7A.14:ALG, CSR	pas-3, Y110A7A.14	2	16	1	1	C1	0	1	Control
Gene:WBGene00004042:26G:C14B9.4, plk-1:ALG, CSR	C14B9.4, plk-1	2	6	1	1	C1	1	0	Control
Gene:WBGene00004178:26G:D2030.6, prg-1:ALG	D2030.6, prg-1	2	4	3	1	C1	0	1	Control
Gene:WBGene00004208:26G:ptc-1, ZK675.1:ALG, CSR, WAGO	ptc-1, ZK675.1	2	6	1	1	C1	0	1	Control
Gene:WBGene00004208:26G:ptc-1, ZK675.1:ALG, CSR, WAGO	ptc-1, ZK675.1	1	20	1	0	C1	0	1	Control
Gene:WBGene00004461:26G:F10G7.8, rpn-5:ALG, CSR	F10G7.8, rpn-5	1	20	1	0	C1	0	1	Control
Gene:WBGene00004468:26G:rpn-12, ZK20.5:ALG, CSR	rpn-12, ZK20.5	2	8	1	1	C1	0	1	Control
Gene:WBGene00004501:26G:C52E4.4, rpt-1:ALG, CSR	C52E4.4, rpt-1	2	16	1	1	C1	0	1	Control
Gene:WBGene00004700:26G:rsp-3, Y111B2A.18:ALG	rsp-3, Y111B2A.18	2	16	1	1	C1	0	1	Control
Gene:WBGene00004703:26G:C33H5.12, rsp-6:ALG	C33H5.12, rsp-6	2	14	1	1	C1	0	1	Control
Gene:WBGene00004737:26G:F10G7.4, scc-1:ALG, CSR	F10G7.4, scc-1	2	6	3	1	C1	0	1	Control
Gene:WBGene00004759:26G:F45D3.5, sel-1:ALG, CSR	F45D3.5, sel-1	2	4	1	1	C1	0	1	Control
Gene:WBGene00004953:26G:F32H2.3, spd-2:ALG, CSR	F32H2.3, spd-2	2	2	1	1	C1	0	1	Control
Gene:WBGene00004975:26G:spe-39, ZC404.3:ALG, CSR	spe-39, ZC404.3	2	2	17	1	C1	1	0	Control
Gene:WBGene00006243:NA:F26G5.11, str-210:unk	F26G5.11, str-210	2	4	1	1	C1	0	1	Control
Gene:WBGene00006590:26G:toc-1, ZC395.3:ALG	toc-1, ZC395.3	1	20	1	0	C1	1	0	Control
Gene:WBGene00006626:26G:F10G7.2, tsn-1:ALG, CSR	F10G7.2, tsn-1	2	16	1	1	C1	0	1	Control
Gene:WBGene00006699:26G:C47E12.5, uba-1:ALG, CSR	C47E12.5, uba-1	1	20	1	0	C1	0	1	Control
Gene:WBGene00006704:26G:F58A4.10, ubc-7:ALG, CSR	F58A4.10, ubc-7	2	4	1	1	C1	0	1	Control
Gene:WBGene00006720:26G:F25H2.8, ubc-25:ALG, CSR	F25H2.8, ubc-25	1	20	1	0	C1	1	0	Control
Gene:WBGene00006727:26G:F25B5.4, ubq-1:ALG, CSR	F25B5.4, ubq-1	2	16	1	1	C1	0	1	Control
Gene:WBGene00006734:26G:T05H10.5, ufd-2:ALG, CSR	T05H10.5, ufd-2	2	4	1	1	C1	0	1	Control
Gene:WBGene00006768:26G:unc-32, ZK637.8:ALG, CSR	unc-32, ZK637.8	2	4	1	1	C1	0	1	Control
Gene:WBGene00006780:26G:B0350.2, unc-44:ERGO, WAGO	B0350.2, unc-44	2	14	1	1	C1	0	1	Control
Gene:WBGene00006780:26G:B0350.2, unc-44:ERGO, WAGO	B0350.2, unc-44	1	20	1	0	C1	0	1	Control
Gene:WBGene00006833:26G:F53F10.4, unc-108:ALG, CSR	F53F10.4, unc-108	2	16	1	1	C1	0	1	Control
Gene:WBGene00006876:26G:vab-10, ZK1151.1:ERGO, WAGO	vab-10, ZK1151.1	2	16	3	1	C1	0	1	Control
Gene:WBGene00006924:26G:F56D12.5, vig-1:ALG, CSR	F56D12.5, vig-1	2	6	1	1	C1	1	0	Control
Gene:WBGene00006924:26G:F56D12.5, vig-1:ALG, CSR	F56D12.5, vig-1	1	20	1	0	C1	1	0	Control
Gene:WBGene00006940:26G:wee-1.3, Y53C12A.1:ALG, CSR	wee-1.3, Y53C12A.1	2	18	1	1	C1	0	1	Control
Gene:WBGene00006975:26G:F54F2.2, zfp-1:ALG	F54F2.2, zfp-1	2	8	1	1	C1	1	0	Control
Gene:WBGene00007274:26G:C03C11.1:ALG	C03C11.1	1	20	1	0	C1	0	1	Control
Gene:WBGene00007309:26G:C04G2.10:ALG, WAGO	C04G2.10	2	4	1	1	C1	0	1	Control
Gene:WBGene00007309:26G:C04G2.10:ALG, WAGO	C04G2.10	1	18	3	0	C1	0	1	Control
Gene:WBGene00007554:26G:C13G3.3, pptr-2:ALG, CSR	C13G3.3, pptr-2	2	6	1	1	C1	1	0	Control
Gene:WBGene00007624:26G:C16C10.3, hrde-1:ALG, CSR	C16C10.3, hrde-1	2	10	1	1	C1	0	1	Control
Gene:WBGene00007640:26G:C17D12.7, pcmd-1:ERGO	C17D12.7, pcmd-1	2	14	1	1	C1	0	1	Control
Gene:WBGene00007750:22G:C26G2.1, syg-2:WAGO	C26G2.1, syg-2	2	8	5	1	C1	1	0	Control
Gene:WBGene00007750:22G:C26G2.1, syg-2:WAGO	C26G2.1, syg-2	1	18	3	0	C1	1	0	Control
Gene:WBGene00007751:NA:C26G2.2:unk	C26G2.2	2	2	1	1	C1	1	0	Control
Gene:WBGene00007751:NA:C26G2.2:unk	C26G2.2	2	10	1	1	C1	1	0	Control
Gene:WBGene00007751:NA:C26G2.2:unk	C26G2.2	2	18	1	1	C1	1	0	Control
Gene:WBGene00008136:26G:C47D12.2:ALG	C47D12.2	2	8	1	1	C1	0	1	Control
Gene:WBGene00008385:26G:D1081.7:ALG, CSR	D1081.7	2	2	3	1	C1	1	0	Control
Gene:WBGene00008385:26G:D1081.7:ALG, CSR	D1081.7	2	8	1	1	C1	1	0	Control
Gene:WBGene00008385:26G:D1081.7:ALG, CSR	D1081.7	2	12	5	1	C1	1	0	Control
Gene:WBGene00008385:26G:D1081.7:ALG, CSR	D1081.7	1	20	1	0	C1	1	0	Control
Gene:WBGene00008422:26G:D2045.2:ALG	D2045.2	2	16	1	1	C1	0	1	Control
Gene:WBGene00008687:26G:F11A10.6:ALG	F11A10.6	2	16	1	1	C1	0	1	Control
Gene:WBGene00008740:26G:F13D12.5:ALG, CSR	F13D12.5	1	20	1	0	C1	0	1	Control
Gene:WBGene00008948:26G:F19B6.1:ALG, CSR	F19B6.1	1	20	1	0	C1	0	1	Control
Gene:WBGene00009082:26G:dlat-1, F23B12.5:ALG	dlat-1, F23B12.5	2	16	1	1	C1	0	1	Control
Gene:WBGene00009702:26G:F44F4.3:ALG, WAGO	F44F4.3	2	2	13	1	C1	1	0	Control
Gene:WBGene00009702:26G:F44F4.3:ALG, WAGO	F44F4.3	1	18	3	0	C1	1	0	Control
Gene:WBGene00010040:26G:F54C8.7:ALG, WAGO	F54C8.7	2	6	1	1	C1	0	1	Control
Gene:WBGene00010419:26G:atp-1, H28O16.1:ALG	atp-1, H28O16.1	2	8	1	1	C1	0	1	Control
Gene:WBGene00010491:26G:K02B7.3:ALG, WAGO	K02B7.3	2	4	1	1	C1	1	0	Control
Gene:WBGene00010491:26G:K02B7.3:ALG, WAGO	K02B7.3	2	8	1	1	C1	1	0	Control
Gene:WBGene00010491:26G:K02B7.3:ALG, WAGO	K02B7.3	2	14	3	1	C1	1	0	Control
Gene:WBGene00010507:26G:K02E2.6:ERGO, WAGO	K02E2.6	2	12	3	1	C1	0	1	Control
Gene:WBGene00010631:26G:cash-1, K07C5.8:ALG, CSR	cash-1, K07C5.8	2	4	1	1	C1	0	1	Control
Gene:WBGene00010631:26G:cash-1, K07C5.8:ALG, CSR	cash-1, K07C5.8	2	8	1	1	C1	0	1	Control
Gene:WBGene00010631:26G:cash-1, K07C5.8:ALG, CSR	cash-1, K07C5.8	2	14	1	1	C1	0	1	Control
Gene:WBGene00010714:26G:K09B11.10, mam-3:ERGO	K09B11.10, mam-3	2	6	1	1	C1	0	1	Control
Gene:WBGene00010734:26G:K10C8.1, parn-1:ALG, WAGO	K10C8.1, parn-1	2	2	1	1	C1	1	0	Control
Gene:WBGene00010734:26G:K10C8.1, parn-1:ALG, WAGO	K10C8.1, parn-1	1	8	13	0	C1	1	0	Control
Gene:WBGene00010943:26G:M176.4:ALG	M176.4	2	14	1	1	C1	0	1	Control
Gene:WBGene00011040:26G:arv-1, R05H5.5:ALG	arv-1, R05H5.5	2	10	1	1	C1	0	1	Control
Gene:WBGene00011155:26G:R09B3.2, rbm-3.1:ALG, CSR	R09B3.2, rbm-3.1	2	16	1	1	C1	0	1	Control
Gene:WBGene00011480:26G:enpl-1, T05E11.3:ALG, CSR	enpl-1, T05E11.3	2	8	1	1	C1	0	1	Control
Gene:WBGene00011481:26G:imp-2, T05E11.5:ALG, CSR	imp-2, T05E11.5	2	8	1	1	C1	0	1	Control
Gene:WBGene00011488:26G:nra-2, T05F1.1:ALG	nra-2, T05F1.1	1	20	1	0	C1	0	1	Control
Gene:WBGene00011777:26G:T14G10.8:ALG	T14G10.8	2	10	1	1	C1	0	1	Control
Gene:WBGene00011892:26G:erh-1, T21C9.4:ALG	erh-1, T21C9.4	2	2	1	1	C1	0	1	Control
Gene:WBGene00012060:NA:T26G10.3:unk	T26G10.3	2	2	1	1	C1	0	1	Control
Gene:WBGene00012062:NA:T26G10.5:unk	T26G10.5	2	4	1	1	C1	0	1	Control
Gene:WBGene00012062:NA:T26G10.5:unk	T26G10.5	2	14	1	1	C1	0	1	Control
Gene:WBGene00012151:26G:VH15N14R.1:ERGO, WAGO	VH15N14R.1	2	2	1	1	C1	1	0	Control
Gene:WBGene00012151:26G:VH15N14R.1:ERGO, WAGO	VH15N14R.1	2	8	1	1	C1	1	0	Control
Gene:WBGene00012151:26G:VH15N14R.1:ERGO, WAGO	VH15N14R.1	2	14	3	1	C1	1	0	Control
Gene:WBGene00012180:26G:W01D2.3:ALG	W01D2.3	1	6	15	0	C1	1	0	Control
Gene:WBGene00012360:26G:tat-3, W09D10.2:ALG, CSR	tat-3, W09D10.2	1	4	17	0	C1	1	0	Control
Gene:WBGene00012831:26G:Y43F8C.9:ALG	Y43F8C.9	2	4	1	1	C1	0	1	Control
Gene:WBGene00013238:26G:trap-4, Y56A3A.21:ALG, CSR	trap-4, Y56A3A.21	2	16	1	1	C1	0	1	Control
Gene:WBGene00013258:26G:polg-1, Y57A10A.15:CSR, ERGO	polg-1, Y57A10A.15	2	4	1	1	C1	0	1	Control
Gene:WBGene00013429:26G:Y66D12A.3:ALG, WAGO	Y66D12A.3	2	10	1	1	C1	0	1	Control
Gene:WBGene00013429:26G:Y66D12A.3:ALG, WAGO	Y66D12A.3	2	16	1	1	C1	0	1	Control
Gene:WBGene00013709:26G:csnk-1, Y106G6E.6:ALG, CSR	csnk-1, Y106G6E.6	2	14	1	1	C1	0	1	Control
Gene:WBGene00013809:26G:Y116A8C.33:ALG	Y116A8C.33	1	20	1	0	C1	0	1	Control
Gene:WBGene00014172:26G:clpp-1, ZK970.2:ALG	clpp-1, ZK970.2	2	10	1	1	C1	0	1	Control
Gene:WBGene00016162:26G:C27D6.4, crh-2:ALG, WAGO	C27D6.4, crh-2	2	16	1	1	C1	0	1	Control
Gene:WBGene00016250:26G:C30C11.4, hsp-110:ALG, CSR	C30C11.4, hsp-110	2	6	1	1	C1	1	0	Control
Gene:WBGene00016250:26G:C30C11.4, hsp-110:ALG, CSR	C30C11.4, hsp-110	1	20	1	0	C1	1	0	Control
Gene:WBGene00016405:26G:C34D4.14, hecd-1:ALG, CSR	C34D4.14, hecd-1	2	2	1	1	C1	0	1	Control
Gene:WBGene00016405:26G:C34D4.14, hecd-1:ALG, CSR	C34D4.14, hecd-1	2	14	1	1	C1	0	1	Control
Gene:WBGene00016561:26G:C41D11.1, eri-6:ERGO, WAGO	C41D11.1, eri-6	2	2	13	1	C1	0	1	Control
Gene:WBGene00016561:26G:C41D11.1, eri-6:ERGO, WAGO	C41D11.1, eri-6	1	20	1	0	C1	0	1	Control
Gene:WBGene00016635:26G:C44B11.6:ERGO, WAGO	C44B11.6	2	12	7	1	C1	0	1	Control
Gene:WBGene00016977:26G:akap-1, C56G2.1:ALG, CSR	akap-1, C56G2.1	2	14	1	1	C1	0	1	Control
Gene:WBGene00016981:26G:C56G2.7, rpn-13:ALG, CSR	C56G2.7, rpn-13	2	16	1	1	C1	0	1	Control
Gene:WBGene00017062:26G:D2063.3, glrx-3:ALG, CSR	D2063.3, glrx-3	2	6	1	1	C1	1	0	Control
Gene:WBGene00017062:26G:D2063.3, glrx-3:ALG, CSR	D2063.3, glrx-3	1	20	1	0	C1	1	0	Control
Gene:WBGene00017088:26G:akir-1, E01A2.6:ALG, CSR	akir-1, E01A2.6	2	16	1	1	C1	0	1	Control
Gene:WBGene00017225:26G:F07G6.6, fbxa-52:ERGO, WAGO	F07G6.6, fbxa-52	2	2	1	1	C1	0	1	Control
Gene:WBGene00017225:26G:F07G6.6, fbxa-52:ERGO, WAGO	F07G6.6, fbxa-52	2	16	3	1	C1	0	1	Control
Gene:WBGene00017328:26G:F10C5.2, nemp-1:ALG, CSR	F10C5.2, nemp-1	2	4	1	1	C1	0	1	Control
Gene:WBGene00017354:26G:F10E9.2:ALG, WAGO	F10E9.2	2	2	3	1	C1	0	1	Control
Gene:WBGene00017441:26G:F13H8.8:ALG, WAGO	F13H8.8	2	4	1	1	C1	0	1	Control
Gene:WBGene00017481:26G:F15B10.3:ALG	F15B10.3	1	20	1	0	C1	0	1	Control
Gene:WBGene00017559:26G:F18C5.4, mpz-3:ALG	F18C5.4, mpz-3	2	6	1	1	C1	1	0	Control
Gene:WBGene00017559:26G:F18C5.4, mpz-3:ALG	F18C5.4, mpz-3	1	20	1	0	C1	1	0	Control
Gene:WBGene00017736:26G:F23C8.7:ALG	F23C8.7	2	2	17	1	C1	1	0	Control
Gene:WBGene00017838:NA:F26G1.2:unk	F26G1.2	2	2	1	1	C1	0	1	Control
Gene:WBGene00017838:NA:F26G1.2:unk	F26G1.2	2	6	3	1	C1	0	1	Control
Gene:WBGene00017838:NA:F26G1.2:unk	F26G1.2	2	14	1	1	C1	0	1	Control
Gene:WBGene00017838:NA:F26G1.2:unk	F26G1.2	1	18	3	0	C1	0	1	Control
Gene:WBGene00017840:NA:F26G1.4, ttm-2:unk	F26G1.4, ttm-2	2	2	1	1	C1	0	1	Control
Gene:WBGene00017840:NA:F26G1.4, ttm-2:unk	F26G1.4, ttm-2	2	8	1	1	C1	0	1	Control
Gene:WBGene00017840:NA:F26G1.4, ttm-2:unk	F26G1.4, ttm-2	2	12	1	1	C1	0	1	Control
Gene:WBGene00017840:NA:F26G1.4, ttm-2:unk	F26G1.4, ttm-2	1	16	5	0	C1	0	1	Control
Gene:WBGene00017841:NA:F26G1.5:unk	F26G1.5	1	20	1	0	C1	0	1	Control
Gene:WBGene00017843:22G:F26G5.1:CSR	F26G5.1	2	10	1	1	C1	1	0	Control
Gene:WBGene00017845:NA:F26G5.10, srsx-9:unk	F26G5.10, srsx-9	2	8	1	1	C1	0	1	Control
Gene:WBGene00018017:26G:F33G12.5, golg-2:ALG, CSR	F33G12.5, golg-2	2	2	1	1	C1	1	0	Control
Gene:WBGene00018017:26G:F33G12.5, golg-2:ALG, CSR	F33G12.5, golg-2	2	8	3	1	C1	1	0	Control
Gene:WBGene00018017:26G:F33G12.5, golg-2:ALG, CSR	F33G12.5, golg-2	1	14	7	0	C1	1	0	Control
Gene:WBGene00018360:26G:F42G8.9, irld-8:ALG	F42G8.9, irld-8	1	2	19	0	C1	1	0	Control
Gene:WBGene00018575:26G:clec-119, F47F6.5:ALG, WAGO	clec-119, F47F6.5	2	2	1	1	C1	1	0	Control
Gene:WBGene00018575:26G:clec-119, F47F6.5:ALG, WAGO	clec-119, F47F6.5	2	6	1	1	C1	1	0	Control
Gene:WBGene00018575:26G:clec-119, F47F6.5:ALG, WAGO	clec-119, F47F6.5	2	10	1	1	C1	1	0	Control
Gene:WBGene00018575:26G:clec-119, F47F6.5:ALG, WAGO	clec-119, F47F6.5	2	14	1	1	C1	1	0	Control
Gene:WBGene00018575:26G:clec-119, F47F6.5:ALG, WAGO	clec-119, F47F6.5	1	18	3	0	C1	1	0	Control
Gene:WBGene00019001:26G:F57B10.3, ipgm-1:ALG, CSR	F57B10.3, ipgm-1	2	6	1	1	C1	0	1	Control
Gene:WBGene00019001:26G:F57B10.3, ipgm-1:ALG, CSR	F57B10.3, ipgm-1	2	12	3	1	C1	0	1	Control
Gene:WBGene00019425:26G:K06A1.2:ALG	K06A1.2	2	4	1	1	C1	0	1	Control
Gene:WBGene00019537:26G:K08D12.3:ALG	K08D12.3	2	6	1	1	C1	1	0	Control
Gene:WBGene00019537:26G:K08D12.3:ALG	K08D12.3	1	20	1	0	C1	1	0	Control
Gene:WBGene00019673:26G:K12C11.1:ALG	K12C11.1	2	8	1	1	C1	0	1	Control
Gene:WBGene00019900:26G:R05G6.7, vdac-1:ALG, CSR	R05G6.7, vdac-1	2	14	1	1	C1	0	1	Control
Gene:WBGene00019909:26G:R06A10.1:ALG, WAGO	R06A10.1	2	4	1	1	C1	0	1	Control
Gene:WBGene00020437:26G:stt-3, T12A2.2:ALG, CSR	stt-3, T12A2.2	2	16	1	1	C1	0	1	Control
Gene:WBGene00021296:26G:Y25C1A.13:ALG, WAGO	Y25C1A.13	1	20	1	0	C1	0	1	Control
Gene:WBGene00022010:26G:catp-7, Y59H11AR.2:ALG	catp-7, Y59H11AR.2	1	20	1	0	C1	0	1	Control
Gene:WBGene00022030:26G:Y65B4A.7:ALG, WAGO	Y65B4A.7	2	6	1	1	C1	1	0	Control
Gene:WBGene00022030:26G:Y65B4A.7:ALG, WAGO	Y65B4A.7	1	20	1	0	C1	1	0	Control
Gene:WBGene00022108:26G:Y71F9AL.2:ALG	Y71F9AL.2	2	16	1	1	C1	0	1	Control
Gene:WBGene00022114:26G:Y71F9AL.9:ALG, CSR	Y71F9AL.9	2	16	1	1	C1	0	1	Control
Gene:WBGene00022385:26G:Y95B8A.4:ALG, WAGO	Y95B8A.4	2	4	1	1	C1	0	1	Control
Gene:WBGene00022728:26G:ZK402.1:ERGO, WAGO	ZK402.1	2	2	1	1	C1	0	1	Control
Gene:WBGene00022834:26G:ZK973.8:ALG, WAGO	ZK973.8	1	20	1	0	C1	0	1	Control
Gene:WBGene00044117:NA:F26G5.12, srsx-10:unk	F26G5.12, srsx-10	2	4	1	1	C1	0	1	Control
Gene:WBGene00044117:NA:F26G5.12, srsx-10:unk	F26G5.12, srsx-10	2	12	3	1	C1	0	1	Control
Gene:WBGene00044439:26G:Y51H7C.15:ERGO, WAGO	Y51H7C.15	2	6	1	1	C1	1	0	Control
Gene:WBGene00044439:26G:Y51H7C.15:ERGO, WAGO	Y51H7C.15	2	18	1	1	C1	1	0	Control
Gene:WBGene00044662:NA:F26G1.9:unk	F26G1.9	2	16	1	1	C1	0	1	Control
Gene:WBGene00044663:NA:F26G1.10:unk	F26G1.10	2	4	1	1	C1	0	1	Control
Gene:WBGene00044784:26G:F13H10.8:ALG, WAGO	F13H10.8	2	10	1	1	C1	0	1	Control
Gene:WBGene00044784:26G:F13H10.8:ALG, WAGO	F13H10.8	2	18	1	1	C1	0	1	Control
Gene:WBGene00050910:26G:Y43F8B.17:ERGO, WAGO	Y43F8B.17	2	2	1	1	C1	0	1	Control
Gene:WBGene00050910:26G:Y43F8B.17:ERGO, WAGO	Y43F8B.17	2	6	3	1	C1	0	1	Control
Gene:WBGene00050910:26G:Y43F8B.17:ERGO, WAGO	Y43F8B.17	1	12	9	0	C1	0	1	Control
Gene:WBGene00077552:26G:H15N14.4:ERGO, WAGO	H15N14.4	2	4	1	1	C1	1	0	Control
Gene:WBGene00077552:26G:H15N14.4:ERGO, WAGO	H15N14.4	1	20	1	0	C1	1	0	Control
Gene:WBGene00164974:26G:F46C3.7:ERGO, WAGO	F46C3.7	2	10	1	1	C1	1	0	Control
Gene:WBGene00189930:NA:Y26G10.5:unk	Y26G10.5	2	2	3	1	C1	0	1	Control
Gene:WBGene00189930:NA:Y26G10.5:unk	Y26G10.5	2	14	1	1	C1	0	1	Control
Gene:WBGene00189930:NA:Y26G10.5:unk	Y26G10.5	1	20	1	0	C1	0	1	Control
Gene:WBGene00189931:NA:Y26G10.6:unk	Y26G10.6	2	16	1	1	C1	0	1	Control
Gene:WBGene00194699:26G:Y43F8B.22:ERGO	Y43F8B.22	2	4	1	1	C1	1	0	Control
Gene:WBGene00194699:26G:Y43F8B.22:ERGO	Y43F8B.22	2	8	1	1	C1	1	0	Control
Gene:WBGene00197451:NA:C26G2.4:unk	C26G2.4	2	16	1	1	C1	0	1	Control
Gene:WBGene00198005:NA:C26G2.5:unk	C26G2.5	2	16	1	1	C1	0	1	Control
Gene:WBGene00200735:NA:C26G2.9:unk	C26G2.9	2	2	1	1	C1	1	0	Control
Gene:WBGene00200735:NA:C26G2.9:unk	C26G2.9	2	6	9	1	C1	1	0	Control
Gene:WBGene00200735:NA:C26G2.9:unk	C26G2.9	1	18	3	0	C1	1	0	Control
Gene:WBGene00201518:NA:C26G2.10:unk	C26G2.10	2	4	3	1	C1	0	1	Control
Gene:WBGene00201518:NA:C26G2.10:unk	C26G2.10	2	16	1	1	C1	0	1	Control
Gene:WBGene00219307:26G:F56D6.17:ERGO, WAGO	F56D6.17	2	16	1	1	C1	0	1	Control
Gene:WBGene00000041:26G:aco-2, F54H12.1:ALG, CSR	aco-2, F54H12.1	2	18	1	1	C2	0	1	Control
Gene:WBGene00000065:26G:act-3, T04C12.4:ALG, CSR	act-3, T04C12.4	2	4	3	1	C2	0	1	Control
Gene:WBGene00000098:26G:air-1, K07C11.2:ALG	air-1, K07C11.2	2	2	1	1	C2	0	1	Control
Gene:WBGene00000182:26G:arf-1, B0336.2:ALG, CSR	arf-1, B0336.2	2	4	5	1	C2	0	1	Control
Gene:WBGene00000230:26G:atp-3, F27C1.7:ALG	atp-3, F27C1.7	2	10	1	1	C2	0	1	Control
Gene:WBGene00000567:26G:cnx-1, ZK632.6:ALG, CSR	cnx-1, ZK632.6	2	14	1	1	C2	0	1	Control
Gene:WBGene00000788:26G:cpz-1, F32B5.8:ERGO	cpz-1, F32B5.8	2	12	1	1	C2	0	1	Control
Gene:WBGene00000788:26G:cpz-1, F32B5.8:ERGO	cpz-1, F32B5.8	1	18	3	0	C2	0	1	Control
Gene:WBGene00000802:26G:crt-1, Y38A10A.5:ALG, CSR	crt-1, Y38A10A.5	1	20	1	0	C2	0	1	Control
Gene:WBGene00000836:26G:cul-1, D2045.6:ALG, CSR	cul-1, D2045.6	2	14	1	1	C2	0	1	Control
Gene:WBGene00000875:26G:cyk-4, K08E3.6:ALG, CSR	cyk-4, K08E3.6	2	2	1	1	C2	0	1	Control
